,current,previous,points,trend,id,uid,guid,firstName,lastName,displayName,shortname,links,country,countryFlag,picture,age,active,birthPlace,citizenshipCountry
137,138,137,405,-1,1935,s:850~a:1935,26f50d90-acc3-afc8-f1ae-11880df2e2b5,Facundo,Bagnis,Facundo Bagnis,,https://www.espn.com/tennis/player/_/id/1935/facundo-bagnis,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,https://a.espncdn.com/i/headshots/tennis/players/full/1935.png,34,True,"Rosario, Argentina",ARG
138,139,140,388,+1,3024,s:850~a:3024,44dc4e80-c6f7-a272-f41b-e7777e4777b5,Zhang,Zhizhen,Zhang Zhizhen,,https://www.espn.com/tennis/player/_/id/3024/zhang-zhizhen,China,https://a.espncdn.com/i/teamlogos/countries/500/chn.png,,28,True,"Shanghai, China",CHN
139,140,142,373,+2,880,s:850~a:880,0fd365d8-b500-d75b-1c9a-2c9c1c28a4c7,Martin,Klizan,Martin Klizan,,https://www.espn.com/tennis/player/_/id/880/martin-klizan,Slovakia,https://a.espncdn.com/i/teamlogos/countries/500/svk.png,https://a.espncdn.com/i/headshots/tennis/players/full/880.png,35,True,"Bratislava, Slovakia",SVK
140,141,143,373,+2,462,s:850~a:462,5adfb3a8-0381-62f0-3147-d4136a939cfc,Dudi,Sela,Dudi Sela,,https://www.espn.com/tennis/player/_/id/462/dudi-sela,Israel,https://a.espncdn.com/i/teamlogos/countries/500/isr.png,,39,,"Kiryat Shmonna, Israel",ISR
141,143,145,370,+2,244,s:850~a:244,6af44d5b-758f-ceb1-e2cb-33ffd367cbd2,Guillermo,Garcia-Lopez,Guillermo Garcia-Lopez,,https://www.espn.com/tennis/player/_/id/244/guillermo-garcia-lopez,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/244.png,41,,"La Roda (Albacete), Spain",ESP
142,144,139,370,-5,1347,s:850~a:1347,baccc5bd-d5b7-db2a-8532-ccdd49b8528d,Blaz,Rola,Blaz Rola,,https://www.espn.com/tennis/player/_/id/1347/blaz-rola,Slovenia,https://a.espncdn.com/i/teamlogos/countries/500/slo.png,,34,True,"Ptuj, Slovenia",SLO
143,145,150,370,+5,2229,s:850~a:2229,214eb274-c4a9-83ff-8f92-cd221347dfb4,Elias,Ymer,Elias Ymer,,https://www.espn.com/tennis/player/_/id/2229/elias-ymer,Sweden,https://a.espncdn.com/i/teamlogos/countries/500/swe.png,https://a.espncdn.com/i/headshots/tennis/players/full/2229.png,28,True,"Skara, Sweden",SWE
144,146,146,369,-,722,s:850~a:722,e7f80baa-f1bd-4219-9a18-21122fa9b911,Pedro,Sousa,Pedro Sousa,,https://www.espn.com/tennis/player/_/id/722/pedro-sousa,Brazil,https://a.espncdn.com/i/teamlogos/countries/500/bra.png,https://a.espncdn.com/i/headshots/tennis/players/full/722.png,36,True,"Lisbon, Portugal",BRA
145,147,147,364,-,2459,s:850~a:2459,535c00a6-d34a-01f6-e538-8d5dca310b99,Emilio,Gomez,Emilio Gomez,,https://www.espn.com/tennis/player/_/id/2459/emilio-gomez,Ecuador,https://a.espncdn.com/i/teamlogos/countries/500/ecu.png,https://a.espncdn.com/i/headshots/tennis/players/full/2459.png,33,True,"Guayaquil, Ecuador",ECU
146,148,126,362,-22,1487,s:850~a:1487,87013382-21a9-b1ac-fc15-2d7f6d62bdc7,Tatsuma,Ito,Tatsuma Ito,,https://www.espn.com/tennis/player/_/id/1487/tatsuma-ito,Japan,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,,36,True,"Mie, Japan",JPN
147,149,148,361,-1,1362,s:850~a:1362,39e81757-c190-789a-ab55-27f44a41bf72,Alessandro,Giannessi,Alessandro Giannessi,,https://www.espn.com/tennis/player/_/id/1362/alessandro-giannessi,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,,34,True,"La Spezia, Italy",ITA
148,150,149,360,-1,1352,s:850~a:1352,57fb49bd-cdfa-735a-c39b-e5c2e84d42fb,Vasek,Pospisil,Vasek Pospisil,,https://www.espn.com/tennis/player/_/id/1352/vasek-pospisil,Canada,https://a.espncdn.com/i/teamlogos/countries/500/can.png,https://a.espncdn.com/i/headshots/tennis/players/full/1352.png,34,True,"Vernon, Canada",CAN
